DEPARTMENT OF FISHERIES,,,,,,,,,,,,
Draft Preliminary Estimated Fish Landings for JAN - DEC 2015,,,,,,,,,,,,
,,,,,,,,,,,,
Table 1: Estimated fish landings for Jan - Dec 2015,,,,,,,,,,,,
Figures recorded in metric tons,,,,,,,,,,,,
SITE,TUNAS,DOLPHINFISH,WAHOO,SNAPPER,FLYINGFISH,SHARK,LOBSTER,CONCH,LIONFISH,OTHER,TOTAL,
,"(2)    ""OTHERSITES"" include all non-sampled sites - Canaries, Banannes, Praslin, Marisule, Savannes Bay, Roseau and other minor sites in   ",,,,,,,,,,,
,         Vieux Fort for which extrapolations are made,,,,,,,,,,,
,"(3)    ""OTHER SPECIES"" refers to all other species not individually listed.  It includes nearshore pelagics, reef species and porpoise species.",,,,,,,,,,,
,"(4)     Laborie was included in ""othersites"" in the extrapolotion for the same period last year",,,,,,,,,,,
,,,,,,,,,,,,
Summary:,Estimated Landings of Fish,,,,,,,,,,,
,,,,,,,,,,,,
,(1)     There was a 4.67% decrease in the total tonage of fish landed in Jan-Dec 2015 compared to the same period in 2014.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,COMPARISON WITH JAN-DEC 2015 LANDING,,,,,,,,,,,
,,,,,,,,,,,,
,Percent increase in the tonage of fish landed based on fish families : ,,,,,Percent decrease in the tonage of fish landed based on fish families : ,,,,,,
,1. Dolphin - 24.23%,,,,,1. Tuna - 2.77%,,,,,,
,2. Conch -34.67%,,,,,2. Flying Fish - 99.50%,,,,,,
,3. Lionfish - 87.96%,,,,,3. Lobster - 38.86%,,,,,,
,,,,,,4. Shark - 0.91%,,,,,,
,,,,,,5. Snapper - 11.54%,,,,,,
,,,,,,6. Wahoo - 44.08%,,,,,,
,,,,,,7. Otherspecies -5.09%,,,,,,
,,,,,,,,,,,,
,Percent increase in the tonage of fish landed based on landing site:,,,,,Percent decrease in the tonage of fish landed based on landing site:,,,,,,
,1. ANSE LA RAYE - 26.80%,,,,,1. GROS ISLET - 11.98%,,,,,,
,2. SOUFRIERE - 23.13%,,,,,2. CHOISEUL - 24.44%,,,,,,
,3. LABORIE - 9.66%,,,,,3. MICOUD -  29.79%,,,,,,
,4. OTHERSITES - %,,,,,4. DENNERY -  0.55%,,,,,,
,,,,,,5. CASTRIES - 35.44%,,,,,,
,,,,,,6. VIEUX FORT - 8.14%,,,,,,
,Estimated Fishing Trips ,,,,,,,,,,,
,There was a 4.61% increase in the estimated fishing trips in Jan-Dec 2015 compared to the same period in 2014.,,,,,,,,,,,
,,,,,,,,,,,,
,Percent increase in the estimated fishing trips per landing site:,,,,,Percent decrease in the estimated fishing trips per landing site:,,,,,,
,1. ANSE LA RAYE: 87.53%,,,,,1. CHOISEUL : 19.69%,,,,,,
,2. DENNERY : 11.44%,,,,,2. LABORIE : 0.72%,,,,,,
,3. SOUFRIERE :23.68%,,,,,3. VIEUX FORT : 2.68%,,,,,,
,4. GROS ISLET : 6.62%,,,,,4. CASTRIES : 54.51%,,,,,,
,5. MICOUD : 13.35%,,,,,,,,,,,
,6. OTHER SPECIES :36.67 %,,,,,,,,,,,
,Estimated ex-vessel prices,,,,,,,,,,,
,There was a 4.91% decrease in the ex-vessel price of fish in 2015 compared to 2014,,,,,,,,,,,
,Percent increase in the ex-vessel price of fish landed based on fish families : ,,,,,Percent decrease in the ex-vessel price of fish landed based on fish families : ,,,,,,
,1. Lionfish - 80.93%,,,,,1. Wahoo - 42.95%,,,,,,
,2. Conch - 36.77%,,,,,2. Snapper -11.32%,,,,,,
,3. Dolphin - 16.96%,,,,,3. Lobster - %,,,,,,
,,,,,,4. Flying Fish - 99.50%,,,,,,
,,,,,,5. Other -16.48%,,,,,,
,,,,,,6. Tuna -2.17%,,,,,,
,,,,,,7. Shark - 13.14%,,,,,,
,Percent increase in the ex-vessel price of fish landed based on landing site: ,,,,,Percent decrease in the ex-vessel price of fish landed based on landing site: ,,,,,,
,1. LABROIE - 22.79%,,,,,1. CASTRIES - 48.79%,,,,,,
,2. ANSE LA RAYE -20.47%,,,,,2. VIEUX FORT - 9.97%,,,,,,
,3. GROS ISLET - 8.02%,,,,,3. CHOISEUL - 12.59%,,,,,,
,4. MICOUD - 25.27%,,,,,4. DENNERY - 3.58%,,,,,,
,5. OTHER SITES - 4.47%,,,,,5. SOUFRIERE - 9.94%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
