Time,Area ID,Area Name,Data Value,Subgroup,,,,
2007,LACLCA,Saint Lucia,211,Wahoo/ King Fish,,,,
2008,LACLCA,Saint Lucia,38,Conch,,,,
2008,LACLCA,Saint Lucia,361,Dolphin,,,,
2008,LACLCA,Saint Lucia,,Flying Fish,,,,
2008,LACLCA,Saint Lucia,13,Lobster,,,,
2008,LACLCA,Saint Lucia,341,Other fish types,,,,
2008,LACLCA,Saint Lucia,13,Shark,,,,
2008,LACLCA,Saint Lucia,"1,810",Total,,,,
2008,LACLCA,Saint Lucia,560,Tuna,,,,
2008,LACLCA,Saint Lucia,182,Wahoo/ King Fish,,,,
2009,LACLCA,Saint Lucia,34,Conch,,,,
2009,LACLCA,Saint Lucia,465,Dolphin,,,,
2009,LACLCA,Saint Lucia,220,Flying Fish,,,,
2009,LACLCA,Saint Lucia,10,Lobster,,,,
2009,LACLCA,Saint Lucia,64,Other fish types,,,,
2009,LACLCA,Saint Lucia,9,Shark,,,,
2009,LACLCA,Saint Lucia,"1,857",Total,,,,
2009,LACLCA,Saint Lucia,486,Tuna,,,,
2009,LACLCA,Saint Lucia,195,Wahoo/ King Fish,,,,
2010,LACLCA,Saint Lucia,28,Conch,,,,
2010,LACLCA,Saint Lucia,352,Dolphin,,,,
2010,LACLCA,Saint Lucia,109,Flying Fish,,,,
2010,LACLCA,Saint Lucia,19,Lobster,,,,
2010,LACLCA,Saint Lucia,472,Other fish types,,,,
2010,LACLCA,Saint Lucia,9,Shark,,,,
2010,LACLCA,Saint Lucia,"1,801",Total,,,,
2010,LACLCA,Saint Lucia,613,Tuna,,,,
2010,LACLCA,Saint Lucia,199,Wahoo/ King Fish,,,,
2011,LACLCA,Saint Lucia,,Conch,,,,
2011,LACLCA,Saint Lucia,473,Dolphin,,,,
2011,LACLCA,Saint Lucia,22,Flying Fish,,,,
2011,LACLCA,Saint Lucia,,Lobster,,,,
2011,LACLCA,Saint Lucia,457,Other fish types,,,,
2011,LACLCA,Saint Lucia,3,Shark,,,,
2011,LACLCA,Saint Lucia,"1,693",Total,,,,
2011,LACLCA,Saint Lucia,541,Tuna,,,,
2011,LACLCA,Saint Lucia,197,Wahoo/ King Fish,,,,
2012,LACLCA,Saint Lucia, …,Conch,,,,
2012,LACLCA,Saint Lucia,504,Dolphin,,,,
2012,LACLCA,Saint Lucia,4,Flying Fish,,,,
2012,LACLCA,Saint Lucia,,Lobster,,,,
2012,LACLCA,Saint Lucia,598,Other fish types,,,,
2012,LACLCA,Saint Lucia,11,Shark,,,,
2012,LACLCA,Saint Lucia,"1,710",Total,,,,
2012,LACLCA,Saint Lucia,442,Tuna,,,,
2012,LACLCA,Saint Lucia,151,Wahoo/ King Fish,,,,
2013,LACLCA,Saint Lucia,,Conch,,,,
2013,LACLCA,Saint Lucia,387,Dolphin,,,,
2013,LACLCA,Saint Lucia,107,Flying Fish,,,,
2013,LACLCA,Saint Lucia,…,Lobster,,,,
2013,LACLCA,Saint Lucia,498,Other fish types,,,,
2013,LACLCA,Saint Lucia,7,Shark,,,,
2013,LACLCA,Saint Lucia,"1,639",Total,,,,
2013,LACLCA,Saint Lucia,492,Tuna,,,,
2013,LACLCA,Saint Lucia,148,Wahoo/ King Fish,,,,
2014,LACLCA,Saint Lucia,75,Conch,,,,
2014,LACLCA,Saint Lucia,407,Dolphin,,,,
2014,LACLCA,Saint Lucia,85,Flying Fish,,,,
2014,LACLCA,Saint Lucia,25,Lobster,,,,
2014,LACLCA,Saint Lucia,562,Other fish types,,,,
2014,LACLCA,Saint Lucia,4,Shark,,,,
2014,LACLCA,Saint Lucia,"1,696",Total,,,,
2014,LACLCA,Saint Lucia,385,Tuna,,,,
2014,LACLCA,Saint Lucia,156,Wahoo/ King Fish,,,,
